,raceId,year,round,circuitId,driverId,constructorId,grid,positionOrder,Top 3 Finish,driverAvgFinish,constructorAvgFinish,driverWinRate,driverPodiumRate,constructorWinRate,constructorPodiumRate,averagePitStopDuration,points,position,wins
0,1052,2021,1,3,1,131,2,1,1,4.770186335403727,5.813356164383562,0.3198757763975155,0.6055900621118012,0.21404109589041095,0.4897260273972603,24457.5,41.0,1,1
1,1052,2021,1,3,830,9,1,2,1,6.1657142857142855,7.472222222222222,0.2571428571428571,0.5085714285714286,0.14444444444444443,0.35138888888888886,24307.5,28.0,2,0
2,1052,2021,1,3,822,131,3,3,1,7.92018779342723,5.813356164383562,0.046948356807511735,0.3145539906103286,0.21404109589041095,0.4897260273972603,27241.666666666668,41.0,1,1
3,1052,2021,1,3,846,1,7,4,0,9.0,9.64690026954178,0.0,0.0851063829787234,0.09649595687331536,0.2587601078167116,25269.5,18.0,3,0
4,1052,2021,1,3,815,9,0,5,0,9.365461847389557,7.472222222222222,0.024096385542168676,0.13253012048192772,0.14444444444444443,0.35138888888888886,24096.333333333332,28.0,2,0
5,1052,2021,1,3,844,6,4,6,0,8.121739130434783,8.338675664276677,0.043478260869565216,0.23478260869565218,0.10248840151834669,0.34289329396878954,24550.5,12.0,4,0
6,1052,2021,1,3,817,1,6,7,0,9.923076923076923,9.64690026954178,0.03418803418803419,0.13675213675213677,0.09649595687331536,0.2587601078167116,24671.5,18.0,3,0
7,1052,2021,1,3,832,6,8,8,0,9.862857142857143,8.338675664276677,0.005714285714285714,0.08571428571428572,0.10248840151834669,0.34289329396878954,24347.0,12.0,4,0
8,1052,2021,1,3,852,213,13,9,0,13.660714285714286,12.308219178082192,0.0,0.0,0.00684931506849315,0.0136986301369863,24687.0,2.0,5,0
9,1052,2021,1,3,840,117,10,10,0,12.216417910447761,11.138211382113822,0.0,0.022388059701492536,0.0,0.056910569105691054,25204.5,1.0,6,0
10,1052,2021,1,3,8,51,14,11,0,8.491477272727273,13.345707656612529,0.05965909090909091,0.29261363636363635,0.025522041763341066,0.06496519721577726,24076.5,0.0,7,0
11,1052,2021,1,3,841,51,12,12,0,13.85483870967742,13.345707656612529,0.0,0.0,0.025522041763341066,0.06496519721577726,28110.5,0.0,7,0
12,1052,2021,1,3,839,214,16,13,0,10.723577235772357,10.446428571428571,0.008130081300813009,0.024390243902439025,0.008928571428571428,0.026785714285714284,24848.5,0.0,8,0
13,1052,2021,1,3,847,3,15,14,0,11.702127659574469,10.950901180857675,0.010638297872340425,0.10638297872340426,0.07085146053449347,0.19515226848974518,24434.5,0.0,9,0
14,1052,2021,1,3,20,117,20,15,0,7.093333333333334,11.138211382113822,0.17666666666666667,0.4066666666666667,0.0,0.056910569105691054,24626.0,1.0,6,0
15,1052,2021,1,3,854,210,18,16,0,15.659090909090908,14.458333333333334,0.0,0.0,0.0,0.0,25570.5,0.0,10,0
16,1052,2021,1,3,842,213,5,17,0,11.091666666666667,12.308219178082192,0.008333333333333333,0.025,0.00684931506849315,0.0136986301369863,29212.666666666668,2.0,5,0
17,1052,2021,1,3,849,3,17,18,0,15.852459016393443,10.950901180857675,0.0,0.0,0.07085146053449347,0.19515226848974518,25014.5,0.0,9,0
18,1052,2021,1,3,4,214,9,19,0,8.362162162162162,10.446428571428571,0.08648648648648649,0.2810810810810811,0.008928571428571428,0.026785714285714284,24574.0,0.0,8,0
19,1052,2021,1,3,853,210,19,20,0,17.863636363636363,14.458333333333334,0.0,0.0,0.0,0.0,24156.5,0.0,10,0
20,1053,2021,2,21,830,9,3,1,1,6.1657142857142855,7.472222222222222,0.2571428571428571,0.5085714285714286,0.14444444444444443,0.35138888888888886,825585.0,53.0,2,1
21,1053,2021,2,21,1,131,1,2,1,4.770186335403727,5.813356164383562,0.3198757763975155,0.6055900621118012,0.21404109589041095,0.4897260273972603,407727.75,60.0,1,1
22,1053,2021,2,21,846,1,7,3,1,9.0,9.64690026954178,0.0,0.0851063829787234,0.09649595687331536,0.2587601078167116,807803.5,41.0,3,0
23,1053,2021,2,21,844,6,4,4,0,8.121739130434783,8.338675664276677,0.043478260869565216,0.23478260869565218,0.10248840151834669,0.34289329396878954,820243.0,34.0,4,0
24,1053,2021,2,21,832,6,11,5,0,9.862857142857143,8.338675664276677,0.005714285714285714,0.08571428571428572,0.10248840151834669,0.34289329396878954,806533.5,34.0,4,0
25,1053,2021,2,21,817,1,6,6,0,9.923076923076923,9.64690026954178,0.03418803418803419,0.13675213675213677,0.09649595687331536,0.2587601078167116,804583.5,41.0,3,0
26,1053,2021,2,21,842,213,5,7,0,11.091666666666667,12.308219178082192,0.008333333333333333,0.025,0.00684931506849315,0.0136986301369863,393241.75,8.0,5,0
27,1053,2021,2,21,840,117,10,8,0,12.216417910447761,11.138211382113822,0.0,0.022388059701492536,0.0,0.056910569105691054,529539.3333333334,5.0,6,0
28,1053,2021,2,21,839,214,9,9,0,10.723577235772357,10.446428571428571,0.008130081300813009,0.024390243902439025,0.008928571428571428,0.026785714285714284,325585.2,3.0,7,0
29,1053,2021,2,21,4,214,15,10,0,8.362162162162162,10.446428571428571,0.08648648648648649,0.2810810810810811,0.008928571428571428,0.026785714285714284,525612.3333333334,3.0,7,0
30,1053,2021,2,21,815,9,2,11,0,9.365461847389557,7.472222222222222,0.024096385542168676,0.13253012048192772,0.14444444444444443,0.35138888888888886,812883.0,53.0,2,1
31,1053,2021,2,21,852,213,20,12,0,13.660714285714286,12.308219178082192,0.0,0.0,0.00684931506849315,0.0136986301369863,528453.3333333334,8.0,5,0
